Country,ISO3,Military_Change_%,Investment_Direction,GPI_Change,Peace_Outcome,Terrorism_Fatalities_Per_Million_Change,Terrorism_Outcome,Security_Profile,Military_Expenditure_USD_Millions_2020,GPI_Score_2020,Terrorism_Fatalities_Per_Million_2020,Military_Expenditure_USD_Millions_2025,GPI_Score_2025,Terrorism_Fatalities_Per_Million_2025
Albania,ALB,112.46416759694245,Significant Increase,0.02299999999999991,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,267.3880951043532,1.731,0.0,568.1038905167849,1.754,0.0
Algeria,DZA,97.41674689086351,Significant Increase,-0.18999999999999972,Improved,-0.06811665685900335,Improved,Improved Peace / Improved Terrorism,12222.08513672233,2.159,0.06811665685900335,24128.44287914897,1.969,0.0
Angola,AGO,-13.905900387949863,Significant Decrease,0.06899999999999995,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,1467.441470007033,1.911,0.0,1263.380520936388,1.98,0.0
Argentina,ARG,-10.611160668369973,Significant Decrease,-0.11299999999999999,Improved,0.0,Stable,Improved Peace / Stable Terrorism,4173.949332546164,1.924,0.0,3731.044862653335,1.811,0.0
Armenia,ARM,76.23304051959514,Significant Increase,0.01100000000000012,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,933.8812143225218,1.89,0.0,1645.807258841897,1.901,0.0
Australia,AUS,12.780429549116304,Significant Increase,0.04200000000000004,Deteriorated,0.4652196428784004,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,31267.50240244388,1.562,0.07797499560221026,35263.62351875647,1.604,0.5431946384806107
Austria,AUT,30.3921580367226,Significant Increase,0.010999999999999899,Deteriorated,-0.33998890929775644,Improved,Deteriorated Peace / Improved Terrorism,4511.916388820966,1.366,0.4485882032068673,5883.185148196221,1.377,0.10859929390911087
Azerbaijan,AZE,54.65810929948313,Significant Increase,0.03799999999999981,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,3021.283655356692,2.035,0.0,4672.660177948972,2.073,0.0
Bahrain,BHR,0.1685386576900193,Relatively Stable,-0.06000000000000005,Improved,0.0,Stable,Improved Peace / Stable Terrorism,1461.290631756814,2.174,0.0,1463.753471372527,2.114,0.0
Bangladesh,BGD,-22.188656549827755,Significant Decrease,0.19799999999999995,Deteriorated,-0.006013300554912186,Improved,Deteriorated Peace / Improved Terrorism,4709.95705576624,2.045,0.006013300554912186,3664.88086101789,2.243,0.0
Belarus,BLR,101.59678965185357,Significant Increase,0.2360000000000002,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,906.5847148174508,1.96,0.0,1827.645680546393,2.196,0.0
Belgium,BEL,123.43654423465433,Significant Increase,-0.10999999999999988,Improved,0.0,Stable,Improved Peace / Stable Terrorism,6083.908813417305,1.644,0.0,13593.67560708719,1.534,0.0
Benin,BEN,178.93629210455302,Significant Increase,0.07499999999999973,Deteriorated,6.547656816380752,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,73.0420602647881,2.181,0.0,203.740814579373,2.256,6.547656816380752
Bolivia,BOL,1.908063652651911,Relatively Stable,-0.0129999999999999,Improved,0.0,Stable,Improved Peace / Stable Terrorism,559.0340803117545,2.034,0.0,569.7008064041199,2.021,0.0
Bosnia and Herzegovina,BIH,7.020235203078958,Relatively Stable,0.008000000000000007,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,199.4229599263048,1.822,0.0,213.4229207620733,1.83,0.0
Botswana,BWA,9.341395934661595,Relatively Stable,-0.014000000000000012,Improved,0.0,Stable,Improved Peace / Stable Terrorism,544.0392260588861,1.792,0.0,594.8600842049153,1.778,0.0
Brazil,BRA,-2.3264587469356335,Relatively Stable,-0.03699999999999992,Improved,0.0,Stable,Improved Peace / Stable Terrorism,24202.75200862208,2.378,0.0,23639.68496751835,2.341,0.0
Bulgaria,BGR,68.90465749918768,Significant Increase,-0.016000000000000014,Improved,0.0,Stable,Improved Peace / Stable Terrorism,1418.537043829857,1.605,0.0,2395.975135379922,1.589,0.0
Burkina Faso,BFA,87.0122546423528,Significant Increase,0.484,Deteriorated,4.1333223199907785,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,451.3213694971304,2.433,31.00747764412075,844.0262687793274,2.917,35.14079996411153
Burundi,BDI,92.28084571311342,Significant Increase,0.18999999999999995,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,88.03816509989834,2.332,0.0,169.2805284043916,2.522,0.0
Cambodia,KHM,3.020838996359991,Relatively Stable,0.030999999999999917,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,695.2935103288062,1.943,0.0,716.297207827979,1.974,0.0
Cameroon,CMR,27.469664612921402,Significant Increase,0.07299999999999995,Deteriorated,-5.758965754326792,Improved,Deteriorated Peace / Improved Terrorism,455.2930621106098,2.622,8.469869279394969,580.3605392782943,2.695,2.7109035250681766
Canada,CAN,39.10306842698822,Significant Increase,0.016999999999999904,Deteriorated,-0.07888791599636043,Improved,Deteriorated Peace / Improved Terrorism,26979.46061698231,1.51,0.07888791599636043,37529.25756327324,1.527,0.0
Central African Republic,CAF,40.51624794411977,Significant Increase,-0.019000000000000128,Improved,0.0,Stable,Improved Peace / Stable Terrorism,48.41750165947436,2.895,0.0,68.0344566801753,2.876,0.0
Chad,TCD,54.10986161734258,Significant Increase,0.0860000000000003,Deteriorated,-8.302041506840272,Improved,Deteriorated Peace / Improved Terrorism,388.2405659649071,2.517,8.302041506840272,598.3169989509059,2.603,0.0
Chile,CHL,-10.692512204918579,Significant Decrease,0.04300000000000015,Deteriorated,-0.3097473782981901,Improved,Deteriorated Peace / Improved Terrorism,5768.676145092085,1.797,0.3097473782981901,5151.859744215887,1.84,0.0
China,CHN,30.920149375098156,Significant Increase,0.17500000000000004,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,255894.6189236238,1.938,0.0,335017.6173376465,2.113,0.0
Colombia,COL,16.819316870308374,Significant Increase,0.014000000000000234,Deteriorated,0.9056727826422861,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,11764.75228591909,2.598,3.0811773502573976,13743.50325189467,2.612,3.9868501328996837
